security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
BN,Finance,Real Estate - Operations,0.55,,,,102,20__0,20,0.0,11462.5,17885.0,50463.2,232718.97,251129.4,252970.44,253154.54
CBRE,Finance,Real Estate - Operations,0.55,548475.0,1. p999999_trade_value,1.0,406,25__1,25,1.0,12780.0,17807.5,146255.0,446080.88,538235.59,547451.06,548372.61
CIGI,Finance,Real Estate - Operations,0.55,4800.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
CWK,Finance,Real Estate - Operations,0.55,60000.0,8. p75_trade_value,2.0,7,10__2,10,2.0,108000.0,144000.0,172800.0,179280.0,179928.0,179992.8,179999.28
DOUG,Finance,Real Estate - Operations,0.55,,,,1,0__0,0,0.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0
EXPI,Finance,Real Estate - Operations,0.55,,,,17,10__0,10,0.0,11901.6,13043.2,14288.64,14568.86,14596.89,14599.69,14599.97
FIP,Finance,Real Estate - Operations,0.55,8350.0,8. p75_trade_value,3.0,9,10__0,10,0.0,9690.0,9870.0,10014.0,10046.4,10049.64,10049.96,10050.0
FOR,Finance,Real Estate - Development,0.55,4500.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
FPH,Finance,Real Estate - Development,0.55,,,,1,0__0,0,0.0,3050.0,3050.0,3050.0,3050.0,3050.0,3050.0,3050.0
GRBK,Finance,Real Estate - Development,0.55,11850.0,8. p75_trade_value,7.0,26,15__0,15,0.0,20750.0,23135.0,23957.5,24040.75,24049.08,24049.91,24049.99
HHH,Finance,Real Estate - Development,0.55,91908.0,1. p999999_trade_value,1.0,102,20__0,20,0.0,14745.0,19975.0,46896.15,87380.88,91455.29,91862.73,91903.47
HOUS,Finance,Real Estate - Operations,0.55,5000.0,1. p999999_trade_value,2.0,6,10__0,10,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
JLL,Finance,Real Estate - Operations,0.55,13330.000000000002,8. p75_trade_value,16.0,58,20__0,20,0.0,17980.0,24925.0,116845.0,215084.5,224908.45,225890.85,225989.08
JOE,Finance,Real Estate - Development,0.55,,,,4,5__0,5,0.0,5586.0,6033.0,6390.6,6471.06,6479.11,6479.91,6479.99
KW,Finance,Real Estate - Operations,0.55,25725.0,1. p999999_trade_value,1.0,2,5__3,5,3.0,23626.5,24675.75,25515.15,25704.02,25722.9,25724.79,25724.98
LEGH,Finance,Real Estate - Operations,0.55,3300.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
LGIH,Finance,Real Estate - Development,0.55,11850.0,8. p75_trade_value,6.0,24,15__0,15,0.0,22088.0,44376.0,49524.6,49934.46,49975.45,49979.54,49979.95
LSEA,Finance,Real Estate - Development,0.55,5800.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0
MMI,Finance,Real Estate - Development,0.55,4500.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,4450.0,4475.0,4495.0,4499.5,4499.95,4500.0,4500.0
MRP,Finance,Real Estate - Operations,0.55,23380.0,8. p75_trade_value,2.0,5,5__1,5,1.0,43552.0,50276.0,55655.2,56865.52,56986.55,56998.66,56999.87
RDFN,Finance,Real Estate - Operations,0.55,255000.0,5. p99_trade_value,9.0,849,30__0,30,0.0,13230.0,20529.0,234600.0,488172.0,591967.2,602346.72,603384.67
RMAX,Finance,Real Estate - Operations,0.55,9000.0,1. p999999_trade_value,1.0,6,10__0,10,0.0,7660.0,8330.0,8866.0,8986.6,8998.66,8999.87,8999.99
SEG,Finance,Real Estate - Operations,0.55,3080.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0
WSC,Finance,Real Estate - Operations,0.55,,,,221,25__1,25,1.0,17080.0,27500.0,148800.0,513206.8,596774.68,605131.47,605967.15
