security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AMWL,Medical,Medical Info Systems,0.55,,,,1,0__2,0,3,2.0,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0
AZTA,Medical,Medical Info Systems,0.55,12665.0,8. p75_trade_value,2.0,8,10__2,10,3,2.0,86865.5,173432.75,242686.55,258268.66,259826.87,259982.69,259998.27
BFLY,Medical,Medical Info Systems,0.55,13000.0,1. p999999_trade_value,1.0,4,5__0,5,3,0.0,10564.0,11782.0,12756.4,12975.64,12997.56,12999.76,12999.98
CCLD,Medical,Medical Info Systems,0.55,4768.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4768.0,4768.0,4768.0,4768.0,4768.0,4768.0,4768.0
CTEV,Medical,Medical Info Systems,0.55,,,,5,5__3,5,3,3.0,12892.0,14256.0,15347.2,15592.72,15617.27,15619.73,15619.97
ENOV,Medical,Medical Info Systems,0.55,,,,21,15__0,15,3,0.0,28000.0,65000.0,82000.0,85825.0,86207.5,86245.75,86249.58
FLGT,Medical,Medical Info Systems,0.55,3900.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
HCAT,Medical,Medical Info Systems,0.55,45350.0,8. p75_trade_value,2.0,5,5__1,5,3,1.0,47906.0,48758.0,49439.6,49592.96,49608.3,49609.83,49609.98
HNGE,Medical,Medical Info Systems,0.55,4680.0,8. p75_trade_value,2.0,6,10__0,10,3,0.0,5027.5,5201.25,5340.25,5371.53,5374.65,5374.97,5375.0
OM,Medical,Medical Info Systems,0.55,,,,2,5__0,5,3,0.0,4797.0,4888.5,4961.7,4978.17,4979.82,4979.98,4980.0
OMCL,Medical,Medical Info Systems,0.55,,,,27,15__0,15,3,0.0,9172.8,10076.2,31162.6,37712.26,38367.23,38432.72,38439.27
PHR,Medical,Medical Info Systems,0.55,,,,9,10__0,10,3,0.0,62800.0,66400.0,69280.0,69928.0,69992.8,69999.28,69999.93
PRVA,Medical,Medical Info Systems,0.55,50000.0,1. p999999_trade_value,1.0,19,15__0,15,3,0.0,11650.0,19175.0,43835.0,49383.5,49938.35,49993.83,49999.38
SENS,Medical,Medical Info Systems,0.55,5150.0,1. p999999_trade_value,1.0,4,5__0,5,3,0.0,4715.0,4932.5,5106.5,5145.65,5149.56,5149.96,5150.0
SOPH,Medical,Medical Info Systems,0.55,,,,2,5__0,5,3,0.0,3975.0,3987.5,3997.5,3999.75,3999.98,4000.0,4000.0
TALK,Medical,Medical Info Systems,0.55,4750.0,8. p75_trade_value,3.0,11,10__0,10,3,0.0,5000.0,5500.0,5900.0,5990.0,5999.0,5999.9,5999.99
TXG,Medical,Medical Info Systems,0.55,,,,19,15__0,15,3,0.0,16148.0,19217.0,37051.4,41064.14,41465.41,41505.54,41509.55
